No.,F,Fm,PAR,Y(II),ETR,TAG,History,Treatment,Time Point,Experiment,Species ,Colony,,,,
3624,198,263,0,0.247,0,227,31,,T2,BB/HR,,,,,,
3625,175,302,0,0.421,0,809,31,,T2,BB/HR,,,,,,
3626,377,554,0,0.319,0,692,28,,T2,BB/HR,,,,,,
3627,476,983,0,0.516,0,467,31,,T2,BB/HR,,,,,,
3628,372,609,0,0.389,0,790,28,,T2,BB/HR,,,,,,
3629,323,502,0,0.357,0,956,31,,T2,BB/HR,,,,,,
3630,333,429,0,0.224,0,1010,31,,T2,BB/HR,,,,,,
3631,481,577,0,0.166,0,645,31,,T2,BB/HR,,,,,,
3632,562,1166,0,0.518,0,800,31,,T2,BB/HR,,,,,,
3633,543,739,0,0.265,0,908,31,,T2,BB/HR,,,,,,
3634,416,899,0,0.537,0,786,28,,T2,BB/HR,,,,,,
3635,615,1022,0,0.398,0,926,28,,T2,BB/HR,,,,,,
3636,467,622,0,0.249,0,558,28,,T2,BB/HR,,,,,,
3637,301,360,0,0.164,0,474,28,,T2,BB/HR,,,,,,
3638,471,1022,0,0.539,0,407,28,,T2,BB/HR,,,,,,
3639,397,517,0,0.232,0,531,31,,T2,BB/HR,,,,,,
3640,331,635,0,0.479,0,217,31,,T2,BB/HR,,,,,,
3641,318,368,0,0.136,0,32,31,,T2,BB/HR,,,,,,
3642,423,621,0,0.319,0,704,31,,T2,BB/HR,,,,,,
3643,538,928,0,0.420,0,477,31,,T2,BB/HR,,,,,,
3644,308,502,0,0.386,0,191,31,,T2,BB/HR,,,,,,
3645,647,788,0,0.179,0,587,31,,T2,BB/HR,,,,,,
3646,352,501,0,0.297,0,1032,31,,T2,BB/HR,,,,,,
3647,567,738,0,0.232,0,188,31,,T2,BB/HR,,,,,,
3648,524,935,0,0.440,0,559,28,,T2,BB/HR,,,,,,
3649,418,711,0,0.412,0,969,28,,T2,BB/HR,,,,,,
3650,407,538,0,0.243,0,1001,28,,T2,BB/HR,,,,,,
3651,539,663,0,0.187,0,560,31,,T2,BB/HR,,,,,,
3652,478,795,0,0.399,0,541,28,,T2,BB/HR,,,,,,
3653,370,540,0,0.315,0,550,31,,T2,BB/HR,,,,,,
3654,402,897,0,0.552,0,810,31,,T2,BB/HR,,,,,,
3655,255,389,0,0.344,0,1021,28,,T2,BB/HR,,,,,,
3656,466,517,0,0.099,0,769,,,T2,BB/HR,,,,,,
3657,390,486,0,0.198,0,806,,,T2,BB/HR,,,,,,
3658,411,730,0,0.437,0,625,28,,T2,BB/HR,,,,,,
3659,509,810,0,0.372,0,311,31,,T2,BB/HR,,,,,,
3660,743,1028,0,0.277,0,867,28,,T2,BB/HR,,,,,,
3661,796,1232,0,0.354,0,820,28,,T2,BB/HR,,,,,,
3662,425,524,0,0.189,0,807,28,,T2,BB/HR,,,,,,
3663,329,385,0,0.145,0,722,31,,T2,BB/HR,,,,,,
3664,680,880,0,0.227,0,772,2,,T2,BB/HR,,,,,,
3665,689,1009,0,0.317,0,525,31,,T2,BB/HR,,,,,,
3666,804,1092,0,0.264,0,500,28,,T2,BB/HR,,,,,,
3667,718,805,0,0.108,0,834,31,,T2,BB/HR,,,,,,
3668,781,1323,0,0.410,0,309,31,,T2,BB/HR,,,,,,
3669,436,614,0,0.290,0,893,31,,T2,BB/HR,,,,,,
3670,667,1159,0,0.425,0,81,,,T2,BB/HR,,,,,,
3775,304,404,0,0.248,0,510,28,31,T3,HR/BB,P,E,,,,
3776,118,226,0,0.478,0,700,28,31,T3,HR/BB,P,D,,,,
3777,118,223,0,0.471,0,847,28,31,T3,HR/BB,P,E,,,,
3778,179,242,0,0.260,0,677,28,31,T3,HR/BB,P,C,,,,
3779,209,281,0,0.256,0,638,28,31,T3,3,P,F,,,,
3780,143,172,0,0.169,0,356,28,31,T3,3,P,E,,,,
3781,194,298,0,0.349,0,817,31,31,T3,3,P,F,,,,
3782,540,619,0,0.128,0,783,31,31,T3,3,P,A,,,,
3783,217,327,0,0.336,0,992,31,31,T3,3,P,B,,,,
3784,928,975,0,0.048,0,530,31,31,T3,HR/BB,P,B,,,,
3785,552,736,0,0.250,0,628,31,31,T3,HR/BB,P,E,,,,
3786,190,255,0,0.255,0,176,31,31,T3,HR/BB,P,F,,,,
3787,89,175,0,0.491,0,622,31,31,T3,HR/BB,P,D,,,,
3788,434,469,0,0.075,0,686,31,31,T3,HR/BB,P,H,,,,
3789,111,149,0,0.255,0,890,31,31,T3,3,P,E,,,,
3790,183,314,0,0.417,0,567,31,31,T3,3,M,B,,,,
3791,91,134,0,0.321,0,851,31,31,T3,3,M,E,,,,
3793,29,58,0,0.500,0,828,31,31,T3,3,M,C,,,,
3794,6,29,0,0,0,919,31,31,T3,3,M,D,,,,
3795,451,584,0,0.228,0,719,28,31,T3,HR/BB,P,I,,,,
3796,196,343,0,0.429,0,689,31,31,T3,HR/BB,P,G,,,,
3797,247,468,0,0.472,0,599,31,31,T3,HR/BB,P,D,,,,
3798,325,487,0,0.333,0,609,31,31,T3,HR/BB,P,J,,,,
3799,348,405,0,0.141,0,940,31,31,T3,HR/BB,P,J,,,,
3800,66,124,0,0.468,0,903,31,31,T3,3,D,F,,,,
3801,125,224,0,0.442,0,21,28,31,T3,3,D,E,,,,
3802,62,109,0,0.431,0,294,28,31,T3,3,D,F,,,,
3803,37,71,0,0.479,0,321,28,31,T3,3,M,D,,,,
3804,136,224,0,0.393,0,499,28,31,T3,3,M,E,,,,
3805,190,321,0,0.408,0,330,31,31,T3,HR/BB,P,A,,,,
3806,528,621,0,0.150,0,216,31,31,T3,HR/BB,P,I,,,,
3807,325,485,0,0.330,0,527,28,31,T3,3,P,D,,,,
3808,301,523,0,0.424,0,761,31,31,T3,3,P,E,,,,
3809,61,122,0,0.500,0,594,28,31,T3,3,P,C,,,,
3810,129,200,0,0.355,0,789,28,31,T3,3,P,C,,,,
3812,657,822,0,0.201,0,352,31,28,T3,3,P,A,,,,
3813,669,877,0,0.237,0,820,31,28,T3,3,P,C,,,,
3814,677,968,0,0.301,0,968,31,28,T3,3,P,E,,,,
3815,659,1054,0,0.375,0,769,31,28,T3,3,P,E,,,,
3816,104,137,0,0.241,0,669,,28,T3,3,,,,,,
3817,753,1109,0,0.321,0,542,28,28,T3,3,P,D,,,,
3818,443,987,0,0.551,0,680,31,28,T3,3,D,E,,,,
3819,281,671,0,0.581,0,929,31,28,T3,3,D,F,,,,
3820,697,1038,0,0.329,0,666,28,28,T3,3,P,F,,,,
3821,539,770,0,0.300,0,486,28,28,T3,3,P,E,,,,
3822,366,961,0,0.619,0,756,31,28,T3,3,M,E,,,,
3823,644,1301,0,0.505,0,871,31,28,T3,3,M,C,,,,
3824,761,1464,0,0.480,0,1031,31,28,T3,3,M,B,,,,
3825,268,567,0,0.527,0,855,31,28,T3,3,M,D,,,,
3826,262,479,0,0.453,0,210,28,28,T3,3,M,D,,,,
3827,430,1128,0,0.619,0,621,31,28,T3,3,M,A,,,,
3828,342,868,0,0.606,0,485,28,28,T3,3,M,F,,,,
3829,404,1067,0,0.621,0,946,31,28,T3,3,M,F,,,,
3830,622,1208,0,0.485,0,572,28,28,T3,3,M,C,,,,
3831,332,694,0,0.522,0,861,,28,T3,,,,,,,
3832,463,577,0,0.198,0,806,,28,T3,HR/BB,P,,,,,
3833,352,518,0,0.320,0,704,31,28,T3,HR/BB,P,D,,,,
3834,136,224,0,0.393,0,1001,28,28,T3,HR/BB,P,G,,,,
3835,451,474,0,0.049,0,645,31,28,T3,HR/BB,P,B,,,,
3836,662,946,0,0.300,0,81,28,28,T3,HR/BB,P,J,,,,
3837,467,647,0,0.278,0,191,31,28,T3,HR/BB,P,D,,,,
3838,700,1130,0,0.381,0,627,28,28,T3,HR/BB,P,A,,,,
3839,412,900,0,0.542,0,559,28,28,T3,HR/BB,P,G,,,,
3840,520,713,0,0.271,0,1032,31,28,T3,HR/BB,P,J,,,,
3841,423,592,0,0.285,0,956,31,28,T3,HR/BB,P,F,,,,
3842,542,785,0,0.310,0,467,31,28,T3,HR/BB,P,E,,,,
3843,479,576,0,0.168,0,722,31,28,T3,HR/BB,P,I,,,,
3844,837,1026,0,0.184,0,768,,28,T3,HR/BB,P,,,,,
3845,309,438,0,0.295,0,22,31,28,T3,HR/BB,P,A,,,,
3846,344,422,0,0.185,0,531,31,28,T3,HR/BB,P,G,,,,
3847,246,322,0,0.236,0,812,28,28,T3,HR/BB,P,C,,,,
3848,436,587,0,0.257,0,311,31,28,T3,HR/BB,P,G,,,,
3849,208,251,0,0.171,0,227,31,28,T3,HR/BB,P,C,,,,
3850,754,1017,0,0.259,0,309,31,28,T3,HR/BB,P,J,,,,
3851,408,827,0,0.507,0,810,31,28,T3,HR/BB,P,I,,,,
3853,484,605,0,0.200,0,1021,28,28,T3,HR/BB,P,F,,,,
3854,766,1093,0,0.299,0,726,,28,T3,HR/BB,P,,,,,
3855,255,340,0,0.250,0,32,31,28,T3,HR/BB,P,D,,,,
3856,253,537,0,0.529,0,834,31,28,T3,HR/BB,P,H,,,,
3857,420,510,0,0.176,0,266,28,28,T3,HR/BB,P,A,,,,
3858,361,389,0,0.072,0,892,,28,T3,HR/BB,P,,,,,
3859,556,745,0,0.254,0,807,,28,T3,HR/BB,P,,,,,
3860,180,383,0,0.530,0,407,28,28,T3,HR/BB,P,D,,,,
3861,957,1073,0,0.108,0,867,28,28,T3,HR/BB,P,E,,,,
3862,520,695,0,0.252,0,625,28,28,T3,HR/BB,P,H,,,,
3863,301,353,0,0.147,0,217,31,28,T3,HR/BB,P,F,,,,
3864,831,1033,0,0.196,0,525,31,28,T3,HR/BB,P,I,,,,
3865,596,651,0,0.084,0,764,31,28,T3,HR/BB,P,I,,,,
3866,335,423,0,0.208,0,474,28,28,T3,HR/BB,P,D,,,,
3867,681,1011,0,0.326,0,969,28,28,T3,HR/BB,P,I,,,,
3868,434,640,0,0.322,0,295,28,28,T3,HR/BB,P,B,,,,
3869,757,1046,0,0.276,0,509,31,28,T3,HR/BB,P,A,,,,
3870,135,274,0,0.507,0,493,31,28,T3,HR/BB,P,C,,,,
3871,614,710,0,0.135,0,560,31,28,T3,HR/BB,P,G,,,,
3872,356,436,0,0.183,0,1010,31,28,T3,HR/BB,P,B,,,,
3874,326,489,0,0.333,0,939,31,28,T3,HR/BB,P,J,,,,
3875,355,479,0,0.259,0,782,31,28,T3,HR/BB,P,D,,,,
3876,134,305,0,0.561,0,592,31,28,T3,HR/BB,P,G,,,,
3877,277,378,0,0.267,0,914,28,28,T3,HR/BB,P,J,,,,
3878,443,575,0,0.230,0,780,28,28,T3,HR/BB,P,A,,,,
3879,126,200,0,0.370,0,526,31,28,T3,HR/BB,P,A,,,,
3880,187,234,0,0.201,0,547,28,28,T3,HR/BB,P,I,,,,
3881,310,435,0,0.287,0,382,28,28,T3,HR/BB,P,F,,,,
3882,141,221,0,0.362,0,648,31,28,T3,HR/BB,P,C,,,,
3883,253,401,0,0.369,0,684,28,28,T3,HR/BB,P,B,,,,
3884,161,196,0,0.179,0,608,28,28,T3,HR/BB,P,G,,,,
3885,388,559,0,0.306,0,231,31,28,T3,HR/BB,P,A,,,,
3886,85,133,0,0.361,0,338,31,28,T3,HR/BB,P,C,,,,
3888,82,120,0,0.317,0,307,31,28,T3,HR/BB,P,C,,,,
3889,45,78,0,0.423,0,984,31,28,T3,HR/BB,P,G,,,,
3890,375,487,0,0.230,0,811,31,28,T3,HR/BB,P,D,,,,
3891,241,463,0,0.479,0,682,28,28,T3,HR/BB,P,C,,,,
3892,366,494,0,0.259,0,224,28,28,T3,HR/BB,P,D,,,,
3893,224,325,0,0.311,0,671,31,28,T3,HR/BB,P,B,,,,
3894,459,674,0,0.319,0,203,28,28,T3,HR/BB,P,A,,,,
3895,147,281,0,0.477,0,844,31,28,T3,HR/BB,P,C,,,,
3896,490,617,0,0.206,0,206,28,28,T3,HR/BB,P,J,,,,
3897,150,185,0,0.189,0,985,,28,T3,HR/BB,P,,,,,
3899,377,467,0,0.193,0,811,31,31,T3,3,P,D,,,,
3900,143,208,0,0.313,0,816,31,31,T3,3,P,C,,,,
3901,223,480,0,0.535,0,794,31,31,T3,3,P,C,,,,
3902,173,199,0,0.131,0,521,31,31,T3,3,P,B,,,,
3903,216,257,0,0.160,0,814,31,31,T3,3,M,C,,,,
3904,352,425,0,0.172,0,791,31,31,T3,3,P,E,,,,
3905,133,186,0,0.285,0,936,31,31,T3,3,M,F,,,,
3906,160,213,0,0.249,0,816,31,31,T3,3,M,E,,,,
3907,64,85,0,0.247,0,804,31,31,T3,3,M,D,,,,
3908,111,206,0,0.461,0,480,31,31,T3,3,D,E,,,,
3909,219,339,0,0.354,0,695,28,31,T3,3,D,E,,,,
3910,223,362,0,0.384,0,574,28,31,T3,3,P,C,,,,
3911,344,469,0,0.267,0,610,28,31,T3,3,P,E,,,,
3912,277,438,0,0.368,0,93,28,31,T3,3,P,B,,,,
3913,56,96,0,0.417,0,263,28,31,T3,3,M,D,,,,
3914,155,266,0,0.417,0,478,28,31,T3,3,M,F,,,,
3915,51,142,0,0.641,0,1022,28,31,T3,3,M,C,,,,
3916,130,205,0,0.366,0,603,28,31,T3,3,M,E,,,,
3917,155,249,0,0.378,0,107,28,31,T3,3,M,B,,,,
3918,91,151,0,0.397,0,690,28,31,T3,3,M,F,,,,
3919,43,78,0,0.449,0,617,28,31,T3,3,M,A,,,,
3920,41,77,0,0.468,0,468,28,31,T3,3,M,C,,,,
3921,276,334,0,0.174,0,568,31,31,T3,HR/BB,P,E,,,,
3922,483,790,0,0.389,0,808,,31,T3,HR/BB,P,,,,,
3923,322,426,0,0.244,0,582,31,31,T3,HR/BB,P,I,,,,
3924,990,1098,0,0.098,0,767,28,31,T3,HR/BB,P,B,,,,
3925,307,373,0,0.177,0,205,31,31,T3,HR/BB,P,F,,,,
3926,90,142,0,0.366,0,927,28,31,T3,HR/BB,P,C,,,,
3927,389,450,0,0.136,0,819,31,31,T3,HR/BB,P,E,,,,
3928,473,604,0,0.217,0,503,28,31,T3,HR/BB,P,D,,,,
3929,209,392,0,0.467,0,838,31,31,T3,HR/BB,P,C,,,,
3930,280,500,0,0.440,0,293,31,31,T3,HR/BB,P,F,,,,
3931,297,587,0,0.494,0,220,28,31,T3,HR/BB,P,G,,,,
3932,307,516,0,0.405,0,833,28,31,T3,HR/BB,P,G,,,,
3933,258,438,0,0.411,0,208,28,31,T3,HR/BB,P,D,,,,
3934,498,570,0,0.126,0,571,31,31,T3,HR/BB,P,A,,,,
3935,1046,1120,0,0.066,0,702,28,31,T3,HR/BB,P,B,,,,
3936,214,457,0,0.532,0,583,28,31,T3,HR/BB,P,F,,,,
3937,285,404,0,0.295,0,896,28,31,T3,HR/BB,P,H,,,,
3938,183,361,0,0.493,0,839,31,31,T3,HR/BB,P,E,,,,
3939,223,500,0,0.554,0,668,31,31,T3,HR/BB,P,G,,,,
3940,144,334,0,0.569,0,418,31,31,T3,HR/BB,P,D,,,,
3941,65,116,0,0.440,0,190,28,31,T3,HR/BB,P,C,,,,
3943,281,580,0,0.516,0,892,28,28,T3,3,D,F,,,,
3944,412,893,0,0.539,0,297,28,28,T3,3,D,E,,,,
3945,372,912,0,0.592,0,931,28,28,T3,3,D,D,,,,
3946,719,1019,0,0.294,0,536,28,28,T3,3,P,C,,,,
3947,950,1228,0,0.226,0,598,,28,T3,3,,,,,,
3948,449,602,0,0.254,0,712,28,28,T3,3,P,E,,,,
3949,750,924,0,0.188,0,962,31,28,T3,3,P,C,,,,
3950,706,872,0,0.190,0,587,31,28,T3,HR/BB,P,E,,,,
3951,624,922,0,0.323,0,520,28,28,T3,HR/BB,P,A,,,,
3952,611,896,0,0.318,0,786,28,28,T3,HR/BB,P,C,,,,
3953,600,825,0,0.273,0,541,28,28,T3,HR/BB,P,J,,,,
3954,374,999,0,0.626,0,519,28,28,T3,3,M,F,,,,
3955,374,1011,0,0.630,0,487,28,28,T3,3,M,A,,,,
3956,480,954,0,0.497,0,995,28,28,T3,3,M,C,,,,
3957,422,874,0,0.517,0,523,28,28,T3,3,M,E,,,,
3958,727,1748,0,0.584,0,564,28,28,T3,3,M,B,,,,
3959,717,969,0,0.260,0,771,31,28,T3,HR/BB,P,I,,,,
3960,169,319,0,0.470,0,809,31,28,T3,HR/BB,P,C,,,,
3961,607,702,0,0.135,0,558,28,28,T3,HR/BB,P,D,,,,
3962,494,704,0,0.298,0,761,,28,T3,3,,,,,,
3963,468,719,0,0.349,0,830,31,28,T3,3,P,F,,,,
3964,443,577,0,0.232,0,825,28,28,T3,HR/BB,P,C,,,,
3965,666,854,0,0.220,0,477,31,28,T3,HR/BB,P,D,,,,
3966,473,484,0,0.023,0,522,31,28,T3,HR/BB,P,A,,,,
3967,272,845,0,0.678,0,818,31,28,T3,3,M,C,,,,
3968,335,862,0,0.611,0,842,31,28,T3,3,M,F,,,,
3969,270,682,0,0.604,0,656,31,28,T3,3,M,D,,,,
3970,781,1038,0,0.248,0,862,31,28,T3,3,P,B,,,,
3971,842,922,0,0.087,0,490,,28,T3,3,,,,,,
3972,641,972,0,0.341,0,800,31,28,T3,HR/BB,P,B,,,,
3973,533,645,0,0.174,0,893,31,28,T3,HR/BB,P,J,,,,
3974,415,554,0,0.251,0,908,31,28,T3,HR/BB,P,C,,,,
3975,474,1220,0,0.611,0,837,31,28,T3,3,M,F,,,,
3976,776,1118,0,0.306,0,911,31,28,T3,3,P,D,,,,
3977,282,320,0,0.119,0,550,31,28,T3,HR/BB,P,F,,,,
3978,487,569,0,0.144,0,790,28,28,T3,HR/BB,P,F,,,,
3979,782,1121,0,0.302,0,820,28,28,T3,HR/BB,P,H,,,,
3980,603,741,0,0.186,0,188,31,28,T3,HR/BB,P,H,,,,
3981,767,997,0,0.231,0,500,28,28,T3,HR/BB,P,I,,,,
3982,634,997,0,0.364,0,727,28,28,T3,HR/BB,P,E,,,,
