No.,F,Fm,PAR,Y(II),ETR,TAG,History,Treatment,Time Point,Experiment,Species ,Colony,,,,
1604,503,985,0,0.489,0,330,,28,T1,HR/BB,,,,,,
1605,230,474,0,0.515,0,22,,28,T1,HR/BB,,,,,,
1606,421,497,0,0.153,0,295,,28,T1,HR/BB,,,,,,
1607,645,733,0,0.12,0,645,,28,T1,HR/BB,,,,,,
1608,436,682,0,0.361,0,671,,28,T1,HR/BB,,,,,,
1609,348,450,0,0.227,0,1010,,28,T1,HR/BB,,,,,,
1610,277,407,0,0.319,0,812,,28,T1,HR/BB,,,,,,
1611,195,311,0,0.373,0,927,,28,T1,HR/BB,,,,,,
1612,338,509,0,0.336,0,190,,28,T1,HR/BB,,,,,,
1613,301,436,0,0.31,0,355,,28,T1,HR/BB,,,,,,
1614,420,622,0,0.325,0,677,,28,T1,HR/BB,,,,,,
1615,329,488,0,0.326,0,825,,28,T1,HR/BB,,,,,,
1617,87,137,0,0.365,0,493,,28,T1,HR/BB,,,,,,
1618,320,403,0,0.206,0,418,,28,T1,HR/BB,,,,,,
1619,351,424,0,0.172,0,32,,28,T1,HR/BB,,,,,,
1620,387,433,0,0.106,0,622,,28,T1,HR/BB,,,,,,
1621,194,256,0,0.242,0,474,,28,T1,HR/BB,,,,,,
1622,173,196,0,0.117,0,700,,28,T1,HR/BB,,,,,,
1623,318,452,0,0.296,0,338,,28,T1,HR/BB,,,,,,
1624,115,178,0,0.354,0,809,,28,T1,HR/BB,,,,,,
1625,201,270,0,0.256,0,844,,28,T1,HR/BB,,,,,,
1626,73,133,0,0.451,0,996,,28,T1,HR/BB,,,,,,
1627,228,312,0,0.269,0,307,,28,T1,HR/BB,,,,,,
1628,210,265,0,0.208,0,227,,28,T1,HR/BB,,,,,,
1630,531,1089,0,0.512,0,944,,28,T1,HR/BB,,,,,,
1631,494,1053,0,0.531,0,727,,28,T1,HR/BB,,,,,,
1632,475,1010,0,0.53,0,1019,,28,T1,HR/BB,,,,,,
1633,517,949,0,0.455,0,510,,28,T1,HR/BB,,,,,,
1634,546,1069,0,0.489,0,568,,28,T1,HR/BB,,,,,,
1635,505,1047,0,0.518,0,228,,28,T1,HR/BB,,,,,,
1636,497,1040,0,0.522,0,819,,28,T1,HR/BB,,,,,,
1637,469,970,0,0.516,0,467,,28,T1,HR/BB,,,,,,
1638,577,679,0,0.15,0,382,,28,T1,HR/BB,,,,,,
1639,448,587,0,0.237,0,806,,28,T1,HR/BB,,,,,,
1640,683,771,0,0.114,0,815,,28,T1,HR/BB,,,,,,
1641,450,802,0,0.439,0,790,,28,T1,HR/BB,,,,,,
1642,445,769,0,0.421,0,176,,28,T1,HR/BB,,,,,,
1643,445,881,0,0.495,0,217,,28,T1,HR/BB,,,,,,
1644,411,747,0,0.45,0,956,,28,T1,HR/BB,,,,,,
1645,392,510,0,0.231,0,207,,28,T1,HR/BB,,,,,,
1646,542,1132,0,0.521,0,628,,28,T1,HR/BB,,,,,,
1647,510,705,0,0.277,0,692,,28,T1,HR/BB,,,,,,
1648,429,557,0,0.23,0,653,,28,T1,HR/BB,,,,,,
1649,435,533,0,0.184,0,220,,28,T1,HR/BB,,,,,,
1650,396,446,0,0.112,0,798,,28,T1,HR/BB,,,,,,
1651,457,540,0,0.154,0,984,,28,T1,HR/BB,,,,,,
1652,363,481,0,0.245,0,592,,28,T1,HR/BB,,,,,,
1653,384,508,0,0.244,0,531,,28,T1,HR/BB,,,,,,
1654,473,1082,0,0.563,0,808,,28,T1,HR/BB,,,,,,
1655,492,737,0,0.332,0,686,,28,T1,HR/BB,,,,,,
1656,602,1075,0,0.44,0,625,,28,T1,HR/BB,,,,,,
1657,643,917,0,0.299,0,188,,28,T1,HR/BB,,,,,,
1658,547,1096,0,0.501,0,582,,28,T1,HR/BB,,,,,,
1659,632,1171,0,0.46,0,810,,28,T1,HR/BB,,,,,,
1660,826,1120,0,0.263,0,597,,28,T1,HR/BB,,,,,,
1661,689,1221,0,0.436,0,969,,28,T1,HR/BB,,,,,,
1662,634,1103,0,0.425,0,547,,28,T1,HR/BB,,,,,,
1663,575,889,0,0.353,0,829,,28,T1,HR/BB,,,,,,
1664,582,1041,0,0.441,0,206,,28,T1,HR/BB,,,,,,
1665,580,1013,0,0.427,0,541,,28,T1,HR/BB,,,,,,
1666,459,749,0,0.387,0,718,,28,T1,HR/BB,,,,,,
1667,386,536,0,0.28,0,940,,28,T1,HR/BB,,,,,,
1668,361,565,0,0.361,0,1032,,28,T1,HR/BB,,,,,,
1669,671,1245,0,0.461,0,225,,28,T1,HR/BB,,,,,,
1671,459,982,0,0.533,0,294,,31,T1,3,,,,,,
1672,542,1081,0,0.499,0,22,,31,T1,3,,,,,,
1673,1054,1224,0,0.139,0,789,,31,T1,3,,,,,,
1674,949,1120,0,0.153,0,594,,31,T1,3,,,,,,
