date,experiment,run,run.total,colony.id,species,site,timepoint,history,treatment,tank,chamber,channel,coral.vol,light.start,light.stop,light.temp,dark.start,dark.stop,dark.temp,light.level,surface.area,Notes,chamber.vol,Notes
20230918,three-spp,3,3,MCAV-C0995,MCAV,BB,Initial,Ambient,Ambient,5,10,10,18,14:42:00,15:02:00,28.7,15:03:00,15:23:00,28.7,NA,17.031,NA,622,
20230918,three-spp,3,3,MCAV-F0936,MCAV,BB,Initial,Heated,Heated,5,11,11,21,14:42:00,15:02:00,28.7,15:03:00,15:23:00,28.7,NA,18.798,NA,619,
20230918,three-spp,3,3,MCAV-C0871,MCAV,BB,Initial,Heated,Ambient,5,12,12,35,14:42:00,15:02:00,28.7,15:03:00,15:23:00,28.7,NA,27.812,NA,605,
20230918,three-spp,4,4,MCAV-C0572,MCAV,BB,Initial,Ambient,Ambient,5,1,1,15.5,15:52:00,16:12:00,28.7,16:14:00,16:34:00,28.7,NA,20.668,NA,624.5,
20230918,three-spp,4,4,MCAV-E0221,MCAV,BB,Initial,Ambient,NA,5,2,2,31,15:52:00,16:12:00,28.7,16:14:00,16:34:00,28.7,NA,17.596,NA,609,
20230918,three-spp,4,4,MCAV-C0468,MCAV,BB,Initial,Ambient,Heated,5,3,3,28.5,15:52:00,16:12:00,28.7,16:14:00,16:34:00,28.7,NA,20.796,NA,611.5,
20230918,three-spp,4,4,MCAV-B0632,MCAV,BB,Initial,Heated,Heated,5,4,4,22,15:52:00,16:12:00,28.7,16:14:00,16:34:00,28.7,NA,6.806,NA,618,
20230918,three-spp,4,4,MCAV-F0905,MCAV,BB,Initial,Heated,Heated,5,5,5,40,15:52:00,16:12:00,28.7,16:14:00,16:34:00,28.7,NA,21.282,NA,600,
20230918,three-spp,4,4,MCAV-D0804,MCAV,BB,Initial,Heated,Heated,5,6,6,19,15:52:00,16:12:00,28.7,16:14:00,16:34:00,28.7,NA,NA,NA,621,
20230918,three-spp,4,4,MCAV-D0263,MCAV,BB,Initial,Ambient,Heated,5,7,7,18,15:52:00,16:12:00,28.7,16:14:00,16:34:00,28.7,NA,14.273,NA,622,
20230918,three-spp,4,4,MCAV-E0523,MCAV,BB,Initial,Ambient,Ambient,5,8,8,25,15:52:00,16:12:00,28.7,16:14:00,16:34:00,28.7,NA,16.406,NA,615,
20230918,three-spp,4,4,MCAV-F0690,MCAV,BB,Initial,Ambient,Heated,5,9,9,22.5,15:52:00,16:12:00,28.7,16:14:00,16:34:00,28.7,NA,22.389,NA,617.5,
20230918,three-spp,4,4,BLNK-BL004,NA,NA,Initial,NA,NA,5,10,10,0,15:52:00,16:12:00,28.7,16:14:00,16:34:00,28.7,NA,NA,NA,640,
20230918,three-spp,4,4,MCAV-D0012,MCAV,BB,Initial,Ambient,NA,5,11,11,23,15:52:00,16:12:00,28.7,16:14:00,16:34:00,28.7,NA,14.501,NA,617,
20230918,three-spp,4,4,MCAV-D0210,MCAV,BB,Initial,Ambient,Ambient,5,12,12,16,15:52:00,16:12:00,28.7,16:14:00,16:34:00,28.7,NA,14.488,NA,624,
20230919,three-spp,1,5,MCAV-E0756,MCAV,BB,Initial,Heated,Ambient,5,1,1,20,10:38:00,10:58:00,28.8,10:59:00,11:19:00,28.8,NA,15.079,NA,620,
20230919,three-spp,1,5,MCAV-F0842,MCAV,BB,Initial,Heated,Ambient,5,2,2,18.5,10:38:00,10:58:00,28.8,10:59:00,11:19:00,28.8,NA,15.805,NA,621.5,
20230919,three-spp,1,5,MCAV-F0803,MCAV,BB,Initial,Heated,Heated,5,3,3,22.5,10:38:00,10:58:00,28.8,10:59:00,11:19:00,28.8,NA,21.888,NA,617.5,
20230919,three-spp,1,5,DLAB-F0099,DLAB,BB,Initial,Ambient,NA,5,4,4,15,10:38:00,10:58:00,28.8,10:59:00,11:19:00,28.8,NA,17.194,NA,625,
20230919,three-spp,1,5,DLAB-F0294,DLAB,BB,Initial,Ambient,Heated,5,5,5,29,10:38:00,10:58:00,28.8,10:59:00,11:19:00,28.8,NA,16.48,NA,611,
20230919,three-spp,1,5,DLAB-D0931,DLAB,BB,Initial,Ambient,Ambient,5,6,6,11,10:38:00,10:58:00,28.8,10:59:00,11:19:00,28.8,NA,7.931,NA,629,
20230919,three-spp,1,5,DLAB-F0892,DLAB,BB,Initial,Ambient,Ambient,5,7,7,26,10:38:00,10:58:00,28.8,10:59:00,11:19:00,28.8,NA,15.126,NA,614,
20230919,three-spp,1,5,DLAB-F0929,DLAB,BB,Initial,Heated,Ambient,5,8,8,21,10:38:00,10:58:00,28.8,10:59:00,11:19:00,28.8,NA,19.276,NA,619,
20230919,three-spp,1,5,BLNK-BL005,NA,NA,Initial,NA,NA,5,9,9,0,10:38:00,10:58:00,28.8,10:59:00,11:19:00,28.8,NA,19.276,NA,640,
20230919,three-spp,1,5,DLAB-F0899,DLAB,BB,Initial,Heated,NA,5,10,10,33,10:38:00,10:58:00,28.8,10:59:00,11:19:00,28.8,NA,11.992,NA,607,
