Site Name ,ODYLIGHT002
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,15889


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

132,28/07/2023 , 19:24:10,1130,932.9
133,28/07/2023 , 19:39:10,716,591.1
134,28/07/2023 , 19:54:10,398,328.6
135,28/07/2023 , 20:09:10,186,153.6
136,28/07/2023 , 20:24:10,58,47.9
137,28/07/2023 , 20:39:10,7,5.8
138,28/07/2023 , 20:54:10,0,0
139,28/07/2023 , 21:09:10,0,0
140,28/07/2023 , 21:24:10,0,0
141,28/07/2023 , 21:39:10,0,0
142,28/07/2023 , 21:54:10,0,0
143,28/07/2023 , 22:09:10,0,0
144,28/07/2023 , 22:24:10,0,0
145,28/07/2023 , 22:39:10,0,0
146,28/07/2023 , 22:54:10,0,0
147,28/07/2023 , 23:09:10,0,0
148,28/07/2023 , 23:24:10,0,0
149,28/07/2023 , 23:39:10,0,0
150,28/07/2023 , 23:54:10,0,0
151,29/07/2023 , 00:09:10,0,0
152,29/07/2023 , 00:24:10,0,0
153,29/07/2023 , 00:39:10,0,0
154,29/07/2023 , 00:54:10,0,0
155,29/07/2023 , 01:09:10,0,0
156,29/07/2023 , 01:24:10,0,0
157,29/07/2023 , 01:39:10,0,0
158,29/07/2023 , 01:54:10,0,0
159,29/07/2023 , 02:09:10,0,0
160,29/07/2023 , 02:24:10,0,0
161,29/07/2023 , 02:39:10,0,0
162,29/07/2023 , 02:54:10,0,0
163,29/07/2023 , 03:09:10,0,0
164,29/07/2023 , 03:24:10,0,0
165,29/07/2023 , 03:39:10,0,0
166,29/07/2023 , 03:54:10,0,0
167,29/07/2023 , 04:09:10,0,0
168,29/07/2023 , 04:24:10,0,0
169,29/07/2023 , 04:39:10,0,0
170,29/07/2023 , 04:54:10,0,0
171,29/07/2023 , 05:09:10,0,0
172,29/07/2023 , 05:24:10,0,0
173,29/07/2023 , 05:39:10,0,0
174,29/07/2023 , 05:54:10,0,0
175,29/07/2023 , 06:09:10,0,0
176,29/07/2023 , 06:24:10,3,2.5
177,29/07/2023 , 06:39:10,51,42.1
178,29/07/2023 , 06:54:10,163,134.6
179,29/07/2023 , 07:09:10,362,298.9
180,29/07/2023 , 07:24:10,552,455.7
181,29/07/2023 , 07:39:10,1202,992.3
182,29/07/2023 , 07:54:10,1484,1225.1
183,29/07/2023 , 08:09:10,1788,1476.1
184,29/07/2023 , 08:24:10,1846,1524
185,29/07/2023 , 08:39:10,2065,1704.8
186,29/07/2023 , 08:54:10,2895,2390
187,29/07/2023 , 09:09:10,2416,1994.5
188,29/07/2023 , 09:24:10,4332,3576.3
189,29/07/2023 , 09:39:10,4841,3996.5
190,29/07/2023 , 09:54:10,5508,4547.2
191,29/07/2023 , 10:09:10,5381,4442.3
192,29/07/2023 , 10:24:10,6554,5410.7
193,29/07/2023 , 10:39:10,5266,4347.4
