"Plot Title: 21309773"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 21309773, SEN S/N: 21309773)","Intensity, Lux (LGR S/N: 21309773, SEN S/N: 21309773)","End Of File (LGR S/N: 21309773)"
1,01/13/22 01:46:59 PM,79.942,22044.6,
2,01/13/22 01:47:59 PM,54.507,341691.1,Logged
