"Plot Title: 21309778"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 21309778, SEN S/N: 21309778)","Intensity, Lux (LGR S/N: 21309778, SEN S/N: 21309778)","End Of File (LGR S/N: 21309778)"
1,01/13/22 01:57:01 PM,79.942,22044.6,
2,01/13/22 01:58:01 PM,54.507,341691.1,Logged
